,video,cam,start,end,question,answer,a1,a2,a3,a4,a5,label
62,2,F,1486,1501,what is the man in front of me doing,open bottle,open box,open bottle,use phone,shake hands,draw,1
63,2,F,1503,1528,what is the man in front of me doing,drink,drink,type on computer,mix salad,open snack bag,walk,0
64,2,F,1503,1528,what am I holding,can,laptop,door,desk,can,camera,3
65,2,F,1629,1640,what am I doing,eat snack,use phone,eat snack,draw on whiteboard,walk around,play phone,1
66,2,F,60,66,what is the object in front of the man I can see,chair,camera,bike,apple,chair,white pillows,3
67,2,F,229,235,how many people can I see in the scene,two,zero,one,two,three,four,2
68,2,F,327,332,what is the color of the can I am holding,black,green,black,red,brown,gray,1
69,2,F,1502,1523,what is the man sitting in front of me doing,drink,have snack,drink,sit down,walk,type on keyboard,1
70,2,F,1502,1523,what is the color of the bottle the man in front of me drinking with,green,gray,green,brown,blue,red,1
71,2,F,2190,2196,what is the man in front of me playing,laptop,laptop,picture,machine,desk,door,0
72,2,F,2591,2608,what am I doing,get snack,play phone,use phone,get snack,mix salad,draw,2
73,2,F,2931,2946,what am I holding in hands,snack bar,machine,cup,black pillows,tv,snack bar,4
74,2,F,3223,3231,What is the man in black jacket doing,use laptop,get can on desk,use laptop,the man in front of whiteboard,in front of book shelf,walk to the door,1
75,2,F,3257,3272,what is the man in front of me doing,put laptop on desk,put laptop on desk,type on laptop,look at phone,drink,throw toy to another man,0
76,2,F,3318,3332,What is the man in black jacket doing,stand up,stand up,get can on desk,throw pillows,read book,type on keyboard,0
77,2,F,3366,3375,what am I doing,stand up,pass pillows,walk,stand up,type on laptop,draw on whiteboard,2
78,2,F,3384,3393,what am I doing with the man in front of me,shake hands,throw pillows,close the door,open box,shake hands,play toy,3
79,2,F,3436,3443,what are we holding in hands,can,door,computer,can,pillows,tv,2
80,2,F,3443,3468,what am I doing,drink,open can,type on computer,open bottle,walk around,drink,4
81,2,F,218,285,what are we doing,drink,drink,read book,use phone,throw toy,type on computer,0
82,2,F,479,508,what is the man in front of me doing,get a box from shelf,get a box from shelf,open snack bag,close bottle,have snack,walk around,0
83,2,F,952,986,what am I holding in hands,snack bar,monitor and computer,door,snack bar,bottle,monitor,2
84,2,F,2081,2146,what is the man doing in front of me,type on computer,sit down,point to a camera,type on computer,get can on desk,draw,2
85,2,M,41,51,how many can or bottle are on the desk,three,zero,one,two,three,four,3
86,2,M,53,64,what am I doing,open bottle,get can,open bottle,turn on computer,get can on desk,throw toy to another man,1
87,2,M,75,97,what am I doing,drink,drink,open bottle,sit,pass book,open box,0
88,2,M,97,112,what am I doing,close bottle,play toy,close bottle,walk around,sit down,type on laptop,1
89,2,M,75,97,how many bags of snack are on the table,two,zero,one,two,three,four,2
90,2,M,158,167,what is the man on my right side doing,open snack,walk to the desk,walk around,have snack,open snack,put can on desk,3
91,2,M,174,187,what am I doing,drink,drink,sit,open bottle,put can on desk,walk,0
92,2,M,210,220,what is the man in gray clothes doing,sit,get a box from shelf,throw pillows,sit,get can on desk,look at the whiteboard,2
93,2,M,210,220,what is in front of the man in gray clothes,can,picture,snack bar,can,print machine,white pillows,2
94,2,M,220,234,what is the man on my right side doing,drink,draw,use phone,put laptop on desk,drink,stand,3
95,2,M,220,237,who is holding a red can,the man in brown clothes,the man in brown clothes,the man on my right side,the man in light blue shirt,the man in front of the door,the man in dark blue clothes,0
96,2,M,220,237,who is holding a green bottle,me,the man in green shirt,the man in blue clothes,a man in gray clothes,the man in blue shirt,me,4
97,2,M,229,234,who is holding a black can,the man in gray clothes,a man in dark clothes,a man in gray clothes,the man in front of whiteboard,the man in gray clothes,the man in red shirt,3
98,2,M,246,259,what am I doing,drink,play phone,type on laptop,drink,sit down,open can,2
99,2,M,246,259,what is the man in gray clothes doing,open can,close bottle,pass pillows,open can,sit down,turn on computer,2
100,2,M,274,285,what am I doing,close bottle,sit down,close bottle,walk around,get snack,draw,1
101,2,M,301,315,what is the man on my right side doing,drink,pass pillows,drink,throw toy,play phone,read book,1
102,2,M,455,462,what color is the bottle on my desk,green,green,red,gray,brown,blue,0
103,2,M,500,505,what am I holding,box,pen,bottle,box,picture on the wall,black pillows,2
104,2,M,503,512,what am I doing,open box,drink,throw toy,open box,eat snack,point to a camera,2
105,2,M,503,512,who is opening the box,me,me,the man in green shirt,a man in blue,the man in clothes clothes,the man in red shirt,0
106,2,M,1948,1953,what am I holding,laptop,book,print machine,laptop,shelf,bike,2
107,2,M,1982,2003,what am I holding,laptop,snack bar,phone,pen,laptop,white pillows,3
108,2,M,1982,2003,what is the clothes color of the man in front of me?,gray,black,red,brown,green,gray,4
109,2,M,2110,2120,what am I doing,type on laptop,put laptop on desk,open box,type on laptop,throw toy,walk around,2
110,2,M,2248,2257,what is the object on the left of my hand,laptop,laptop,cup,tv,phone,camera,0
111,2,M,99,113,what am I doing,close bottle,open bottle,point to a camera,write on whiteboard,close bottle,erase the whiteboard,3
112,2,M,167,175,what am I doing,open bottle,open bottle,turn on computer,put can on desk,walk around,eat snack,0
113,2,M,191,199,who is entering the room through the door,a man in gray clothes,a man in dark clothes,a man in gray clothes,the man in green shirt,a man in blue,the man in gray clothes,1
114,2,M,199,203,how many people can I see in the scene,two,zero,one,two,three,four,2
115,2,M,275,285,what am I doing,close bottle,close bottle,write on whiteboard,mix salad,use phone,pass pillows,0
116,2,M,781,786,how many bottle can I see on the desk,zero,zero,one,two,three,four,0
117,2,M,931,939,what is the man on my right side doing,open snack bag,open bottle,turn on computer,open snack bag,get a box from shelf,have snack,2
118,2,M,1120,1127,what am I doing with the man in front of me,shake hands,mix salad,read book,shake hands,sit,type on computer,2
119,2,M,1121,1128,who am I shaking hands with,the man in gray clothes,the man in gray clothes,the man in blue clothes,a man in dark blue clothes,the man in light blue shirt,the man on my left side,0
120,2,M,1211,1221,what is on the right side of the door,whiteboard,bottle,bike,monitor and computer,picture on the wall,whiteboard,4
121,2,M,1269,1275,what is on the left side of whiteboard,door,cup,can,snack,door,white pillows,3
122,2,M,1454,1463,what is the man in front of me having,snack bar,pillows,picture,snack bar,whiteboard,apple,2
123,2,M,1494,1504,what am I doing,open bottle,put laptop on desk,have snack,open bottle,play toy,walk,2
124,2,M,1527,1541,what am I doing,close bottle,close bottle,draw,eat,sit down,sit,0
125,2,M,1967,1972,what am I holding in hands,laptop,laptop,picture on the wall,toy,box,door,0
126,2,M,2892,2903,what is placed on desk on my left hand side,laptop,white pillows,laptop,black pillows,computer,can,1
127,2,M,2980,2990,how many laptop are on the table,one,zero,one,two,three,four,1
128,2,M,3193,3198,what is my left hand typing on,laptop,monitor and computer,laptop,black pillows,machine,apple,1
129,2,M,3426,3430,how many people are standing beside the desk,two,zero,one,two,three,four,2
130,2,M,3620,3635,what am I doing,sit down,open snack,look at the whiteboard,turn on computer,sit down,get a box from shelf,3
131,3,F,45,50,how many people are in the scene,one,zero,one,two,three,four,1
132,3,F,77,83,how many people are in the scene,two,zero,one,two,three,four,2
133,3,F,77,83,how many people are in the room,two,zero,one,two,three,four,2
134,3,F,83,88,what color of clothes is the man beside door,blue,red,gray,green,black,blue,4
135,3,F,83,88,who is sitting on the chair,a man in dark clothes,me,the man in clothes clothes,a man in dark clothes,a man in dark blue clothes,a man in blue shirt,2
136,3,F,83,88,who is standing beside the door,a man in blue,a man in blue,the man in red clothes,a man in dark blue clothes,the man in dark blue,two man standing in front of me,0
137,3,F,169,182,what is the man in blue shirt doing,close the door,sit,get can,eat snack,close the door,turn on computer,3
138,3,F,169,182,who is closing the door,a man in blue shirt,the man in front of the door,the man in red shirt,the man in gray clothes,the man in brown clothes,a man in blue shirt,4
139,3,F,200,208,who am I looking at,a man in blue,the man on my right side,the man on my left side,the man in black jacket,a man in blue,the man in brown clothes,3
140,3,F,200,208,what is the man in front of me doing,erase whiteboard,walk,walk to the desk,get a box from shelf,turn on computer,erase whiteboard,4
141,3,F,204,213,who am I looking at,a man in blue,a man in blue,the man in blue clothes,a man in blue shirt,me,the man in light blue shirt,0
142,3,F,204,213,what is the man in front of me doing,erase whiteboard,point on whiteboard,walk,use phone,draw on whiteboard,erase whiteboard,4
143,3,F,256,269,who am I looking at,a man in dark clothes,a man in dark clothes,the man in dark blue clothes,a man in blue shirt,a man in blue,the man on my left side,0
144,3,F,300,317,what is the man in blue shirt doing,draw on whiteboard,draw on whiteboard,walk to the desk,erase the whiteboard,throw pillows,point to a camera,0
145,3,F,320,336,what is the man in blue shirt doing,draw on whiteboard,close bottle,look at phone,draw on whiteboard,throw pillows,stand,2
146,3,F,340,350,what is the man doing in front of me,draw on whiteboard,draw on whiteboard,read book,sit down,open snack bag,eat salad,0
147,3,F,340,350,who am I looking at,a man in blue,the man in red clothes,the man in brown clothes,a man in blue,the man in gray clothes,the man in blue shirt,2
148,3,F,410,420,what is the man doing in front of me,draw on whiteboard,draw,stand,draw on whiteboard,play phone,drink,2
149,3,F,560,575,what am I doing,point on whiteboard,open snack,point on whiteboard,pass book,open can,walk around,1
150,3,F,70,74,how many people can I see in the room,one,zero,one,two,three,four,1
151,3,F,75,85,who is entering the room through the door,a man in blue shirt,the man in red shirt,a man in blue shirt,the man on my left side,the man in blue clothes,a man in dark clothes,1
152,3,F,202,216,what is the man in blue shirt doing,erase whiteboard,stand up,walk to the door,erase whiteboard,erase the whiteboard,shake hands,2
153,3,F,490,510,what is the man doing in front of me,write on whiteboard,turn on computer,close bottle,get a box from shelf,write on whiteboard,get snack,3
154,3,F,570,576,what am I doing,point on whiteboard,point on whiteboard,use phone,open bottle,erase the whiteboard,pick up the toy,0
155,3,F,1908,1919,who is standing by the wall and door,the man in blue shirt,the man in brown clothes,me,the man on my left side,the man in blue shirt,a man in dark clothes,3
156,3,F,1957,1970,what is the man on my left side doing,sit down,type on keyboard,play toy,pass book,stand,sit down,4
157,3,F,2173,2185,what is the man doing in front of me,point on whiteboard,turn on computer,point on whiteboard,pick up the toy,open bottle,throw toy to another man,1
158,3,F,43,47,who is going out of the room,the man in blue shirt,the man in front of the door,the man in blue shirt,the man in black jacket,two man standing in front of me,a man in blue,1
159,3,F,80,86,what is the man in blue shirt doing,walk,walk to the desk,get a box from shelf,look at phone,walk,throw toy,3
160,3,F,197,203,who is sitting on the chair,the man on my left side,a man in blue shirt,the man in front of whiteboard,the man in black jacket,the man on my left side,the man in clothes clothes,3
161,3,F,429,442,what is the man doing in front of me,draw on whiteboard,walk around,pick up the toy,draw on whiteboard,pass pillows,eat snack,2
162,3,F,497,509,what is the color the man draw on whiteboard,green,green,red,brown,gray,blue,0
163,3,F,739,756,what is the man doing on whiteboard,draw,open box,play phone,point on whiteboard,draw,pass pillows,3
164,3,F,1196,1211,what am I doing on whiteboard,draw,draw,walk to the desk,get snack,use phone,look at phone,0
165,3,F,1289,1294,what is the man on my left side doing,look at the whiteboard,open box,erase whiteboard,get can,look at the whiteboard,look at phone,3
166,3,F,1783,1792,how many people stand in the room,two,zero,one,two,three,four,2
167,3,F,2195,2204,where is the whiteboard,on my right side,open snack,on my right side,pick up the toy,picture,pen,1
168,3,F,1256,1302,what is the man in blue shirt doing,walk around,write on whiteboard,erase the whiteboard,open snack,type on keyboard,walk around,4
169,3,F,2161,2213,what is the man in front of me doing,point on whiteboard,point on whiteboard,mix salad,eat salad,get a box from shelf,walk,0
170,3,M,67,73,how many people can I see,one,zero,one,two,three,four,1
171,3,M,132,145,who am I talking with,the man in dark blue,the man in dark blue,the man on my right side,the man in brown clothes,the man in black jacket,the man in blue clothes,0
172,3,M,173,187,what am I doing,close the door,eat,play toy,draw on whiteboard,close the door,put can on desk,3
173,3,M,240,257,what am I doing,erase the whiteboard,erase the whiteboard,throw toy to another man,look at the whiteboard,close bottle,put can on desk,0
174,3,M,276,280,what is in the hand of the man in front of me,pen,picture on the wall,pen,tv,monitor and computer,phone,1
175,3,M,276,280,what is the man holding,pen,pen,pillows,desk,tv,door,0
176,3,M,288,292,what is in my hand,pen,can,pen,cup,bottle,toy,1
177,3,M,341,350,what am I doing,draw on whiteboard,point to a camera,stand,draw on whiteboard,pass pillows,write on whiteboard,2
178,3,M,376,401,what am I doing,draw on whiteboard,use phone,draw on whiteboard,put can on desk,pass pillows,pass book,1
179,3,M,440,460,what am I doing,draw on whiteboard,open snack bag,draw on whiteboard,mix salad,walk to the desk,stand up,1
180,3,M,517,520,what is in my hand,pen,pen,book,picture,monitor and computer,bottle,0
181,3,M,517,520,what is the color of pen in my hand,red,blue,gray,green,red,brown,3
182,3,M,505,510,what is the color of pen in my hand,green,brown,gray,green,blue,black,2
183,3,M,573,578,what is the color of the clothes the man is wearing,blue,blue,black,green,brown,gray,0
184,3,M,599,602,what is the color of pen in my hand,blue,red,blue,green,gray,brown,1
185,3,M,599,602,how many pens of different colors are in the scene,three,zero,one,two,three,four,3
186,3,M,630,640,what am I doing,draw on whiteboard,play phone,draw on whiteboard,open snack,stand,shake hands,1
187,3,M,860,868,how many people can I see,two,zero,one,two,three,four,2
188,3,M,864,870,what is the man on my right side doing,stand up,open snack,pass book,have snack,erase the whiteboard,stand up,4
189,3,M,883,890,what is the man on my right side doing,drink,drink,type on keyboard,walk to the desk,stand,sit,0
190,3,M,883,890,what is the man on my right side holding,can,bottle,tv,shelf,can,picture on the wall,3
191,3,M,946,953,what is the man on my right side doing,sit down,open box,shake hands,sit down,point to a camera,play toy,2
192,3,M,987,992,what is the man in front of me holding,pen,can,machine,shelf,cup,pen,4
193,3,M,1076,1100,what is the man in front of me doing,draw on whiteboard,look at phone,walk to the desk,shake hands,draw on whiteboard,drink,3
194,3,M,1196,1208,who am I looking at,the man in dark blue clothes,the man in front of whiteboard,a man in dark clothes,the man in brown clothes,the man in dark blue clothes,a man in dark blue clothes,3
195,3,M,1196,1208,what is behind the man in dark blue clothes,chair,bike,picture on the wall,chair,box,cup,2
196,3,M,1322,1342,what am I doing,point on whiteboard,pick up the toy,sit down,point on whiteboard,get snack,use phone,2
197,3,M,1398,1408,what is the man in front of me doing,point on whiteboard,point on whiteboard,throw toy to another man,put laptop on desk,open snack,get can,0
198,3,M,1420,1428,what is the man in front of me doing,point on whiteboard,get snack,point on whiteboard,look at phone,use phone,put laptop on desk,1
199,3,M,1420,1428,what is behind the man in dark blue clothes,chair,bike,tv,chair,phone,monitor,2
200,3,M,1498,1506,what is the man in front of me doing,point on whiteboard,sit,get can on desk,point on whiteboard,get a box from shelf,draw on whiteboard,2
201,3,M,1667,1680,how many people can I see,two,zero,one,two,three,four,2
202,3,M,1784,1795,who am I talking with,two man standing in front of me,two man standing in front of me,the man on my right side,the man in red clothes,a man in blue shirt,the man in green shirt,0
203,3,M,1851,1859,what is the man in dark blue clothes doing,point on whiteboard,open box,get can on desk,type on laptop,eat snack,point on whiteboard,4
204,3,M,83,88,who is standing beside the whiteboard,a man in dark blue clothes,the man in clothes clothes,a man in dark clothes,the man on my right side,a man in dark blue clothes,a man in blue,3
205,3,M,201,210,what am I doing,erase the whiteboard,type on laptop,erase the whiteboard,type on computer,walk to the desk,turn on computer,1
206,3,M,250,260,what am I doing,erase the whiteboard,erase the whiteboard,walk,get snack,look at the whiteboard,stand,0
207,3,M,301,331,what am I doing,draw on whiteboard,drink,read book,sit down,have snack,draw on whiteboard,4
208,3,M,332,341,what am I doing,draw on whiteboard,point to a camera,throw toy,mix salad,get can,draw on whiteboard,4
209,3,M,332,341,what is the color of the pen I am drawing with,green,black,blue,brown,gray,green,4
210,3,M,530,533,what is the color of the pen I am drawing with,red,black,red,green,gray,brown,1
211,3,M,578,583,what is the man in front of me doing,point on whiteboard,open can,point on whiteboard,eat,throw pillows,eat snack,1
212,3,M,599,602,what is the color of pen I am holding,blue,green,black,gray,brown,blue,4
213,3,M,783,800,what is the color I am drawing on whiteboard,green,green,black,gray,blue,red,0
214,3,M,863,873,what is the man doing on my right side,stand up,open bottle,stand up,close bottle,throw pillows,eat,1
215,3,M,927,931,who is wave hands,the man in front of whiteboard,the man in red clothes,the man in clothes clothes,the man in gray clothes,the man in front of whiteboard,a man in dark blue clothes,3
216,3,M,1007,1015,what is the color of the pen the man in front of me is holding,blue,brown,black,gray,green,blue,4
217,3,M,1430,1445,what is the man in front of me doing,point on whiteboard,point to a camera,eat,open can,point on whiteboard,look at phone,3
218,3,M,498,502,what am I doing,draw on whiteboard,draw on whiteboard,stand,drink,walk to the door,sit,0
219,3,M,898,902,what is on the desk,monitor,white pillows,pen,phone,monitor,snack,3
220,3,M,937,941,how many people are in the room,two,zero,one,two,three,four,2
221,3,M,1289,1301,what is the man in dark blue clothes doing,draw on whiteboard,draw on whiteboard,open snack bag,read book,close the door,type on laptop,0
222,3,M,1332,1337,what am I doing,point on whiteboard,pick up the toy,read book,point on whiteboard,eat salad,drink,2
223,3,M,1421,1434,what is the man doing with hand,point on whiteboard,draw,close the door,type on computer,get can on desk,point on whiteboard,4
224,4,F,57,67,what is the man in dark clothes doing,sit down,walk to the door,get can,get snack,sit down,drink,3
225,4,F,57,67,what is behind the man in dark clothes,machine,monitor,bike,chair,print machine,machine,4
226,4,F,78,83,how many people can I see in the scene,two,zero,one,two,three,four,2
227,4,F,120,127,how many people can I see in the scene,two,zero,one,two,three,four,2
228,4,F,120,127,how many people are sitting,two,zero,one,two,three,four,2
229,4,F,135,139,what is the man getting for,can,computer,chair,snack bar,white pillows,can,4
230,4,F,146,151,what is in front of me,computer,pen,computer,monitor and computer,door,book,1
231,4,F,157,166,what am I doing,drink,have snack,open bottle,turn on computer,play toy,drink,4
232,4,F,165,178,what am I doing,drink,eat,throw pillows,shake hands,get can on desk,drink,4
233,4,F,180,191,what is the man in dark clothes doing,drink,get can on desk,drink,walk to the desk,eat,look at the whiteboard,1
234,4,F,180,191,what is the man in blue shirt holding,snack,toy,machine,snack,box,monitor,2
235,4,F,180,191,what are the objects behind the two people,computer,computer,snack bar,machine,door,whiteboard,0
236,4,F,231,252,what is the man on my left side doing,drink,throw toy to another man,put can on desk,open snack bag,walk to the desk,drink,4
237,4,F,253,264,what is the man on my right side doing,eat snack,eat snack,stand,walk,sit down,erase the whiteboard,0
238,4,F,316,332,what am I doing,drink,type on laptop,point on whiteboard,draw on whiteboard,drink,open can,3
239,4,F,337,346,what color is the can I am holding,black,gray,brown,red,blue,black,4
240,4,F,504,508,what am I doing,type on keyboard,eat,type on keyboard,put can on desk,look at the whiteboard,get snack,1
241,4,F,504,508,what is in front of me,monitor,print machine,chair,computer,monitor and computer,monitor,4
242,4,F,504,508,what is the man on my left side doing,eat snack,eat snack,open can,walk around,erase whiteboard,read book,0
243,4,F,504,508,what is on the desk,monitor,monitor,phone,cup,white pillows,picture on the wall,0
244,4,F,28,38,what are the people doing,shake hands,type on keyboard,open snack,pass pillows,pass book,shake hands,4
245,4,F,206,210,what is hold by the man on my left side,can,machine,can,monitor,computer,picture on the wall,1
246,4,F,218,224,what is the color of the can I am holding,black,blue,green,black,red,brown,2
247,4,F,234,240,what is mounted on the wall on my right side,tv,pillows,computer,bottle,shelf,tv,4
248,4,F,527,531,what am I doing,type on keyboard,walk,eat snack,use phone,turn on computer,type on keyboard,4
249,4,F,553,557,what is placed on the desk,monitor,machine,monitor,cup,tv,picture,1
250,4,F,497,570,what am I doing,type on keyboard,get can on desk,throw pillows,type on keyboard,type on computer,eat salad,2
251,4,F,346,398,what is man in blue shirt holding in hand,snack,machine,computer,camera,snack,whiteboard,3
252,4,F,566,582,who is sitting beside the computer desk,the man in light blue shirt,a man in blue shirt,the man in red clothes,the man in red shirt,the man in light blue shirt,me,3
253,4,M,45,53,what is the man on my left side doing,sit down,type on computer,use phone,sit down,open bottle,have snack,2
254,4,M,45,53,what is the object on the desk,computer,pillows,computer,laptop,bottle,snack,1
255,4,M,62,69,what is the man on my right side doing,sit down,play toy,walk to the desk,get can on desk,throw pillows,sit down,4
256,4,M,105,110,how many people can I see in the scene,one,zero,one,two,three,four,1
257,4,M,125,131,what am I looking at ,computer,phone,computer,door,tv,box,1
258,4,M,143,160,what is the man doing,get can,close bottle,use phone,type on keyboard,draw on whiteboard,get can,4
259,4,M,168,177,what is the man doing,drink,drink,stand,sit,have snack,erase whiteboard,0
260,4,M,192,200,what am I doing,eat snack,drink,put laptop on desk,look at phone,eat snack,read book,3
261,4,M,192,200,what is behind the man in front of me,whiteboard,machine,tv,book,toy,whiteboard,4
262,4,M,422,435,what is holding in my hand,snack,toy,computer,snack bar,phone,snack,4
263,4,M,479,495,what is holding in my hand,snack,chair,door,book,toy,snack,4
264,4,M,509,526,what is the man doing in front of me,type on keyboard,shake hands,type on keyboard,look at the whiteboard,walk to the door,open snack bag,1
265,4,M,531,544,what am I putting on the desk,snack,computer,shelf,apple,laptop,snack,4
266,4,M,588,594,what is the man looking at in front of me,monitor,monitor,computer,black pillows,chair,picture,0
267,4,M,297,305,what am I doing,have snack,have snack,sit down,close the door,get a box from shelf,get can on desk,0
268,4,M,314,324,what is on the desk on my left hand side,monitor,chair,computer,monitor,snack bar,picture on the wall,2
269,4,M,352,359,what am I doing,have snack,have snack,type on keyboard,eat salad,play phone,sit,0
270,4,M,271,280,what is on the desk on my left hand side,monitor,bike,box,can,monitor,phone,3
271,4,M,272,281,what is on the desk on my right hand side,computer,tv,shelf,monitor,toy,computer,4
272,4,M,571,577,what is on the wall on my left side,tv,tv,white pillows,bottle,desk,monitor and computer,0
273,4,M,131,139,what is the man on my right side doing,get can on desk,get can on desk,walk around,stand up,get can,open snack bag,0
274,4,M,263,267,what is on the wall behind the computer,whiteboard,print machine,whiteboard,bottle,monitor and computer,snack bar,1
275,4,M,357,364,what is the man in front of me doing,put can on desk,open snack,get can on desk,put can on desk,draw,walk,2
276,5,D,30,38,how many people can I see in the scene,two,zero,one,two,three,four,2
277,5,D,30,38,what is behind the man in red clothes,whiteboard,book,snack,pen,whiteboard,chair,3
278,5,D,44,50,what am I holding in hands,snack bar,bottle,laptop,snack bar,pen,print machine,2
